T a T y T i(Vdd)*Vdd
2.175398e-07 1.800000e+00 2.175398e-07 1.351469e-02 2.175398e-07 -2.872509e-05 
2.185398e-07 1.800000e+00 2.185398e-07 1.351398e-02 2.185398e-07 4.286122e-06 
2.195398e-07 1.800000e+00 2.195398e-07 1.351469e-02 2.195398e-07 -2.871740e-05 
2.205398e-07 1.800000e+00 2.205398e-07 1.351399e-02 2.205398e-07 4.278441e-06 
2.215398e-07 1.800000e+00 2.215398e-07 1.351469e-02 2.215398e-07 -2.870973e-05 
2.225398e-07 1.800000e+00 2.225398e-07 1.351399e-02 2.225398e-07 4.270765e-06 
2.235398e-07 1.800000e+00 2.235398e-07 1.351469e-02 2.235398e-07 -2.870206e-05 
2.245398e-07 1.800000e+00 2.245398e-07 1.351399e-02 2.245398e-07 4.263093e-06 
2.255398e-07 1.800000e+00 2.255398e-07 1.351469e-02 2.255398e-07 -2.869439e-05 
2.265398e-07 1.800000e+00 2.265398e-07 1.351399e-02 2.265398e-07 4.255426e-06 
2.275398e-07 1.800000e+00 2.275398e-07 1.351469e-02 2.275398e-07 -2.868673e-05 
2.285398e-07 1.800000e+00 2.285398e-07 1.351399e-02 2.285398e-07 4.247764e-06 
2.295398e-07 1.800000e+00 2.295398e-07 1.351469e-02 2.295398e-07 -2.867907e-05 
2.305398e-07 1.800000e+00 2.305398e-07 1.351399e-02 2.305398e-07 4.240107e-06 
2.315398e-07 1.800000e+00 2.315398e-07 1.351469e-02 2.315398e-07 -2.867142e-05 
2.325398e-07 1.800000e+00 2.325398e-07 1.351399e-02 2.325398e-07 4.232455e-06 
2.335398e-07 1.800000e+00 2.335398e-07 1.351469e-02 2.335398e-07 -2.866377e-05 
2.345398e-07 1.800000e+00 2.345398e-07 1.351399e-02 2.345398e-07 4.224808e-06 
2.355398e-07 1.800000e+00 2.355398e-07 1.351470e-02 2.355398e-07 -2.865612e-05 
2.365398e-07 1.800000e+00 2.365398e-07 1.351399e-02 2.365398e-07 4.217165e-06 
2.375398e-07 1.800000e+00 2.375398e-07 1.351470e-02 2.375398e-07 -2.864849e-05 
2.385398e-07 1.800000e+00 2.385398e-07 1.351399e-02 2.385398e-07 4.209527e-06 
2.395398e-07 1.800000e+00 2.395398e-07 1.351470e-02 2.395398e-07 -2.864085e-05 
2.405398e-07 1.800000e+00 2.405398e-07 1.351400e-02 2.405398e-07 4.201894e-06 
2.415398e-07 1.800000e+00 2.415398e-07 1.351470e-02 2.415398e-07 -2.863322e-05 
2.425398e-07 1.800000e+00 2.425398e-07 1.351400e-02 2.425398e-07 4.194266e-06 
2.435398e-07 1.800000e+00 2.435398e-07 1.351470e-02 2.435398e-07 -2.862560e-05 
2.445398e-07 1.800000e+00 2.445398e-07 1.351400e-02 2.445398e-07 4.186643e-06 
2.455398e-07 1.800000e+00 2.455398e-07 1.351470e-02 2.455398e-07 -2.861798e-05 
2.465398e-07 1.800000e+00 2.465398e-07 1.351400e-02 2.465398e-07 4.179024e-06 
2.475398e-07 1.800000e+00 2.475398e-07 1.351470e-02 2.475398e-07 -2.861037e-05 
2.485398e-07 1.800000e+00 2.485398e-07 1.351400e-02 2.485398e-07 4.171410e-06 
2.495398e-07 1.800000e+00 2.495398e-07 1.351470e-02 2.495398e-07 -2.860276e-05 
2.505398e-07 1.800000e+00 2.505398e-07 1.351400e-02 2.505398e-07 4.163801e-06 
2.515398e-07 1.800000e+00 2.515398e-07 1.351470e-02 2.515398e-07 -2.859515e-05 
2.525398e-07 1.800000e+00 2.525398e-07 1.351400e-02 2.525398e-07 4.156197e-06 
2.535398e-07 1.800000e+00 2.535398e-07 1.351470e-02 2.535398e-07 -2.858755e-05 
2.545398e-07 1.800000e+00 2.545398e-07 1.351400e-02 2.545398e-07 4.148598e-06 
2.555398e-07 1.800000e+00 2.555398e-07 1.351470e-02 2.555398e-07 -2.857996e-05 
2.565398e-07 1.800000e+00 2.565398e-07 1.351400e-02 2.565398e-07 4.141003e-06 
2.575398e-07 1.800000e+00 2.575398e-07 1.351470e-02 2.575398e-07 -2.857237e-05 
2.585398e-07 1.800000e+00 2.585398e-07 1.351400e-02 2.585398e-07 4.133413e-06 
2.595398e-07 1.800000e+00 2.595398e-07 1.351470e-02 2.595398e-07 -2.856478e-05 
2.605398e-07 1.800000e+00 2.605398e-07 1.351400e-02 2.605398e-07 4.125828e-06 
2.615398e-07 1.800000e+00 2.615398e-07 1.351470e-02 2.615398e-07 -2.855720e-05 
2.625398e-07 1.800000e+00 2.625398e-07 1.351401e-02 2.625398e-07 4.118248e-06 
2.635398e-07 1.800000e+00 2.635398e-07 1.351470e-02 2.635398e-07 -2.854963e-05 
2.645398e-07 1.800000e+00 2.645398e-07 1.351401e-02 2.645398e-07 4.110673e-06 
2.655398e-07 1.800000e+00 2.655398e-07 1.351470e-02 2.655398e-07 -2.854205e-05 
2.665398e-07 1.800000e+00 2.665398e-07 1.351401e-02 2.665398e-07 4.103102e-06 
